Symbol,Historical Average,Current Price,Difference,Change
ADI,181.56916745503744,188.09,6.520832544962559,0.98
ADP,227.32124964396158,237.95,10.62875035603841,0.16
BKNG,2451.8552042643228,2375.98,-75.87520426432275,-35.99
COP,73.97727031764826,72.72,-1.2572703176482634,-2.9
LRCX,599.1387481689453,635.8,36.66125183105464,10.7
GM,59.67416683832804,62.33,2.655833161671957,-0.58
MRNA,279.51500002543133,251.41,-28.105000025431337,11.17
TJX,68.60946095867561,73.1,4.490539041324382,-2.1
SYK,267.4972953796387,259.7,-7.797295379638683,-0.94
MDLZ,61.611250241597496,62.34,0.7287497584025076,-1.92
CHTR,695.9387537638346,685.88,-10.058753763834602,-2.85
MU,72.90666675567627,77.02,4.1133332443237265,6.11
PNC,207.31041717529297,200.91,-6.400417175292972,-1.55
GILD,66.75790818532307,67.79,1.0320918146769316,0.73
MMC,166.33875020345053,167.5,1.1612497965494697,1.82
LMT,346.5908317565918,342.08,-4.510831756591813,0.8
CB,191.3920841217041,191.93,0.5379158782959053,-3.68
TFC,62.98881533332958,61.87,-1.1188153333295858,-1.76
CSX,35.58541615804037,36.21,0.6245838419596339,-0.11
CME,221.98541577657065,226.2,4.214584223429341,-2.89
MO,45.47547483444214,44.01,-1.4654748344421407,-0.55
EL,337.35083262125653,347.2,9.84916737874346,5.65
SHW,317.492491058061,330.74,13.247508941939032,1.51
CCI,180.27166748046875,183.33,3.0583325195312625,0.41
USB,60.57698726654053,58.65,-1.9269872665405288,-1.06
F,17.958574479415276,19.56,1.6014255205847228,-0.19
ICE,135.13083267211914,135.37,0.23916732788086392,-2.07
DUK,100.26229646467176,98.37,-1.8922964646717588,0.63
CI,216.05249977111816,218.75,2.697500228881836,-8.24
EW,117.03791681925456,117.03,-0.007916819254560892,0.0
BDX,245.1137491861979,249.36,4.2462508138021064,-0.75
EQIX,800.9441680908203,792.84,-8.10416809082028,-7.19
ADSK,318.99916585286456,322.18,3.1808341471354424,0.34
ETN,168.25884845290003,173.32,5.061151547099968,-4.4
ITW,233.0170841217041,240.97,7.952915878295897,0.97
TMUS,118.03458340962727,116.98,-1.05458340962727,-1.36
COF,157.33914284702826,152.99,-4.349142847028247,-1.67
REGN,617.6634089152018,648.51,30.846591084798206,4.17
NSC,281.62645053205796,275.82,-5.806450532057966,-7.95
FIS,115.69333299001057,109.01,-6.68333299001057,0.93
AON,304.38118913578,294.83,-9.551189135780021,1.96
APD,300.586664835612,296.24,-4.346664835611989,2.26
SO,62.05588975778184,61.63,-0.4258897577818388,0.98
KLAC,391.28958257039386,423.24,31.950417429606148,-0.3
CL,76.54952542295236,76.39,-0.15952542295235617,0.81
MCO,390.54500071207684,395.04,4.494999287923179,-7.62
WM,162.10833295186362,164.49,2.381667048136393,-1.1
DXCM,619.8323694864908,648.41,28.57763051350912,-7.23
D,75.62375005086263,74.19,-1.4337500508626277,-0.99
FISV,102.60833231608073,100.06,-2.5483323160807316,-1.07
FDX,241.89416631062826,242.69,0.795833689371733,-1.74
