Symbol,Week 1 Diff,Week 1 Ch,Week 2 Diff,Week 2 Ch
OKE,-0.2430622445383718,-1.85,0.10040875750769374,2.07
KSU,-0.327085164387995,-1.94,-1.1515017700195358,3.64
SYF,-0.5657650006930268,-0.64,-0.389207156197763,1.36
LUV,-2.0774999109903973,0.46,-2.1315003204345757,-0.74
URI,-1.0020817565917923,2.13,-4.302996520996089,-1.76
OXY,-2.097499872843421,-1.49,-1.8324998474121088,1.91
SWKS,-1.7962487284342217,-2.16,-0.6339994812011582,-0.43
ZBH,-10.065001195271831,-0.08,-8.223500213623055,0.26
GNRC,-33.70083124796554,17.89,-34.95299774169922,-7.16
DAL,-1.0097917366027858,-0.38,-1.0190001296997124,-0.24
NTRS,-1.9933340708414704,-0.79,-2.0260002136230355,1.45
HIG,-1.9874998728434288,-0.82,-1.8494998931884794,1.87
HBAN,-0.0261123148600255,-0.22,0.040500135421755346,0.07
LYB,-2.9725007120768225,-1.86,-2.0360006713867165,0.65
KHC,-1.123958314259852,-0.03,-1.1667500305175835,0.45
RF,-0.0545000394185386,0.04,-0.20800008773803924,0.54
KEY,-0.0770834255218488,-0.27,-0.08550012588500877,0.34
PAYC,-39.515290832519554,1.12,-31.75934906005864,-4.34
HES,-3.092500139872243,-4.28,-1.398500213623052,3.97
CTLT,-2.134415677388517,-0.92,-1.2897486877441509,-0.79
GRMN,-4.415205917358406,-1.08,-1.1359986877441486,0.28
PPL,-0.4810416507720951,0.13,-0.4640000152587902,0.22
AEE,-0.2499997584025095,0.96,-0.5590000915527327,-0.38
CERN,-0.1337502034505178,-0.84,-0.47699996948242074,0.49
DTE,-2.0954165013631183,-0.2,-1.6740000915527418,-0.69
WAT,-10.998119964599596,7.35,-11.074997558593736,-3.82
VIAC,-1.9358333142598525,-0.57,-1.1915003967285216,-0.69
HAL,-1.7033332888285315,-0.71,-1.2815001869201659,0.68
TTWO,-6.770835240681976,-3.5,-5.783001708984386,1.69
CZR,-10.17349989573161,-0.73,-7.9200002288818325,-0.87
VTR,-0.8766669845581063,-1.94,0.24399951934814368,0.73
BR,-4.017709096272796,1.13,-3.229000854492199,-1.01
COO,-9.073335673014356,0.18,-9.467000732421866,-4.43
BKR,-0.8514711618291102,-1.24,-0.3796801421099012,1.11
NTAP,-2.6627168782552104,-1.32,-1.986000518798832,1.45
CRL,-15.836669514973948,-9.01,-8.83150390625002,-4.87
TECH,-8.642919565836621,6.37,-7.537001953125014,-16.91
HPE,-0.3449999634424845,-0.2,-0.28749994277954194,0.04
DRI,-1.4901244608561228,-3.42,-1.9484997558593875,1.51
IP,-1.0335413351084384,-0.99,-0.4279177572841135,-0.13
FLT,-21.212497990926124,0.38,-15.646997985839846,2.24
CE,-0.1079521519135369,-1.72,0.2638328510610961,1.49
AMCR,-0.1202084032694497,-0.12,0.034474816980281986,-0.19
FANG,-2.0316667938232484,-5.94,-1.2889997863769622,4.59
RCL,-3.4890374120076477,-2.47,-2.871999130249023,-0.43
AVY,-0.4445826721191395,-1.26,-1.262499542236327,2.48
RJF,-1.954375292460128,0.25,-2.016999969482427,2.07
MGM,-2.7441623242696167,-0.05,-2.265999526977538,-2.03
CINF,-2.8343748728434264,0.11,-3.4544998168945256,1.07
QRVO,-5.922501398722318,-0.34,-3.9024507141113247,1.26
WDC,-0.5501293818155872,0.32,-1.008000183105466,3.65
CTRA,-0.3216665395100904,-0.92,-0.3179997253417959,0.04
TXT,-0.0685415267944336,0.09,-0.47049903869628906,-0.59
CCL,-1.4691667238871275,-0.42,-1.2324999809265158,-0.18
JBHT,-0.6779193878173828,-1.49,-1.1735023498535213,3.23
AES,-0.2537736995175592,0.11,-0.3755548271965701,-0.33
VTRS,-0.369999950726827,-0.24,-0.2654998874664294,0.08
